,subject_id,condition,rep,lvl0_start,lvl1_start,lvl2_start,lvl3_start,lvl4_start,lvl5_start,lvl6_start,lvl7_start,lvl7_end
0,28949,ES,0,-0.011,46.989,67.989,87.989,121.989,138.989,166.989,182.989,201.989
1,28949,ES,1,-0.005,42.995,62.995,82.995,114.995,129.995,158.995,173.995,192.995
2,28949,ES_empty,0,-0.016,43.984,66.984,87.984,116.984,133.984,162.984,178.984,196.984
3,28949,ES_empty,1,-0.014,43.986,65.986,82.986,114.986,129.986,159.986,176.986,195.986
4,28949,NE,0,-0.003,52.997,78.997,103.997,139.997,157.997,187.997,205.997,224.997
5,28949,NE,1,-0.013,44.987,65.987,83.987,116.987,132.987,160.987,175.987,193.987
6,28949,NE_empty,0,-0.011,44.989,67.989,87.989,117.989,133.989,161.989,180.989,201.989
7,28949,NE_empty,1,-0.006,44.994,68.994,86.994,116.994,131.994,160.994,176.994,195.994
8,48203,ES,0,-0.016,49.984,76.984,103.984,141.984,165.984,198.984,223.984,246.984
9,48203,ES,1,-0.008,45.992,67.992,90.992,123.992,144.992,179.992,199.992,217.992
10,48203,ES_empty,0,-0.009,46.991,71.991,94.991,132.991,151.991,184.991,209.991,229.991
11,48203,ES_empty,1,-0.018,51.982,72.982,93.982,123.982,141.982,172.982,189.982,209.982
12,48203,NE,0,-0.014,53.986,82.986,113.986,153.986,177.986,190.986,210.986,232.986
13,48203,NE,1,-0.009,47.991,74.991,96.991,132.991,152.991,183.991,200.991,220.991
14,48203,NE_empty,0,-0.017,46.983,69.983,91.983,126.983,147.983,180.983,199.983,220.983
15,48203,NE_empty,1,-0.012,50.988,78.988,103.988,135.988,153.988,185.988,201.988,219.988
16,55131,ES,0,-0.013,51.987,73.987,100.987,148.987,165.987,196.987,213.987,235.987
17,55131,ES,1,-0.011,43.989,63.989,85.989,109.989,121.989,147.989,160.989,190.989
18,55131,ES_empty,0,-0.011,45.989,70.989,89.989,119.989,136.989,165.989,185.989,204.989
19,55131,ES_empty,1,-0.01,44.99,66.99,85.99,110.99,126.99,156.99,173.99,192.99
20,55131,NE,0,-0.007,48.993,68.993,90.993,122.993,144.993,177.993,193.993,213.993
21,55131,NE,1,-0.018,47.982,67.982,90.982,118.982,136.982,167.982,181.982,202.982
22,55131,NE_empty,0,-0.006,44.994,67.994,83.994,109.994,122.994,152.994,173.994,192.994
23,55131,NE_empty,1,-0.019,43.981,65.981,85.981,115.981,133.981,146.981,170.981,193.981
24,63264,ES,0,-0.011,53.989,77.989,101.989,135.989,154.989,187.989,205.989,223.989
25,63264,ES,1,-0.008,49.992,72.992,91.992,124.992,141.992,174.992,190.992,208.992
26,63264,ES_empty,0,-0.019,48.981,70.981,90.981,122.981,139.981,173.981,192.981,215.981
27,63264,ES_empty,1,-0.011,45.989,65.989,84.989,111.989,128.989,157.989,174.989,193.989
28,63264,NE,0,-0.007,49.993,70.993,91.993,125.993,141.993,174.993,193.993,214.993
29,63264,NE,1,-0.012,46.988,68.988,90.988,124.988,141.988,171.988,187.988,206.988
30,63264,NE_empty,0,-0.016,48.984,71.984,92.984,125.984,144.984,177.984,196.984,216.984
31,63264,NE_empty,1,-0.007,44.993,65.993,83.993,111.993,130.993,161.993,181.993,200.993
32,63817,ES,0,-0.019,48.981,72.981,92.981,123.981,143.981,170.981,194.981,214.981
33,63817,ES,1,-0.007,41.993,60.993,77.993,102.993,116.993,143.993,160.993,177.993
34,63817,ES_empty,0,-0.003,43.997,62.997,78.997,106.997,134.997,163.997,182.997,200.997
35,63817,ES_empty,1,-0.011,42.989,58.989,71.989,102.989,134.989,165.989,186.989,204.989
36,63817,NE,0,-0.013,48.987,71.987,92.987,123.987,140.987,169.987,190.987,209.987
37,63817,NE,1,-0.501,42.499,64.499,82.499,108.499,133.499,161.499,183.499,199.499
38,63817,NE_empty,0,-0.01,41.99,59.99,78.99,106.99,119.99,147.99,168.99,188.99
39,63817,NE_empty,1,-0.016,46.984,70.984,89.984,118.984,136.984,167.984,189.984,209.984
40,67455,ES,0,-0.01,47.99,70.99,92.99,124.99,142.99,172.99,192.99,213.99
41,67455,ES,1,-0.015,43.985,65.985,88.985,128.985,143.985,173.985,194.985,212.985
42,67455,ES_empty,0,-0.004,49.996,72.996,93.996,122.996,138.996,170.996,197.996,215.996
43,67455,ES_empty,1,-0.017,45.983,66.983,81.983,109.983,124.983,151.983,172.983,189.983
44,67455,NE,0,-0.765,48.235,75.235,102.235,135.235,159.235,191.235,213.235,234.235
45,67455,NE,1,-0.018,45.982,69.982,90.982,120.982,138.982,165.982,184.982,199.982
46,67455,NE_empty,0,-0.072,47.928,71.928,95.928,127.928,144.928,176.928,206.928,224.928
47,67455,NE_empty,1,-0.0,47.0,67.0,85.0,113.0,127.0,155.0,172.0,190.0
48,69316,ES,0,-0.016,51.984,81.984,108.984,146.984,169.984,200.984,218.984,240.984
49,69316,ES,1,-0.003,45.997,68.997,95.997,128.997,152.997,199.997,227.997,253.997
50,69316,ES_empty,0,-0.006,47.994,76.994,100.994,131.994,152.994,196.994,223.994,254.994
51,69316,ES_empty,1,-0.002,62.998,106.998,150.998,220.998,240.998,272.998,294.998,315.998
52,69316,NE,0,-0.013,51.987,95.987,123.987,165.987,188.987,223.987,244.987,272.987
53,69316,NE,1,-0.01,45.99,82.99,120.99,151.99,176.99,212.99,235.99,258.99
54,69316,NE_empty,0,-0.008,50.992,76.992,104.992,142.992,168.992,223.992,248.992,276.992
55,69316,NE_empty,1,-0.018,65.982,96.982,120.982,152.982,180.982,213.982,246.982,277.982
56,85418,ES,0,-0.006,49.994,76.994,102.994,140.994,159.994,193.994,209.994,232.994
57,85418,ES,1,-0.01,44.99,65.99,89.99,123.99,136.99,164.99,177.99,194.99
58,85418,ES_empty,0,-0.013,44.987,69.987,90.987,122.987,136.987,167.987,182.987,201.987
59,85418,ES_empty,1,-0.018,43.982,66.982,85.982,113.982,126.982,158.982,171.982,190.982
60,85418,NE,0,-0.009,51.991,77.991,105.991,141.991,156.991,188.991,202.991,222.991
61,85418,NE,1,-0.0,48.0,73.0,94.0,128.0,139.0,168.0,183.0,201.0
62,85418,NE_empty,0,-0.013,42.987,64.987,83.987,114.987,130.987,162.987,176.987,197.987
63,85418,NE_empty,1,-0.0,43.0,65.0,83.0,115.0,125.0,157.0,169.0,187.0
64,9999999,ES,0,-0.001,48.999,66.999,84.999,114.999,132.999,163.999,180.999,198.999
65,9999999,ES,1,-0.015,43.985,60.985,77.985,99.985,113.985,133.985,149.985,165.985
66,9999999,ES_empty,0,-0.014,45.986,69.986,91.986,124.986,146.986,178.986,200.986,225.986
67,9999999,ES_empty,1,-0.016,40.984,63.984,82.984,110.984,129.984,154.984,172.984,187.984
68,9999999,NE,0,-0.015,43.985,62.985,81.985,111.985,128.985,156.985,173.985,195.985
69,9999999,NE,1,-0.01,41.99,62.99,82.99,107.99,125.99,160.99,176.99,193.99
70,9999999,NE_empty,0,-0.004,48.996,68.996,88.996,112.996,133.996,162.996,182.996,201.996
71,9999999,NE_empty,1,-0.019,43.981,65.981,83.981,111.981,130.981,168.981,184.981,199.981
72,11334,ES,0,-0.005,42.995,61.995,80.995,110.995,125.995,153.995,167.995,181.995
73,11334,ES,1,-0.017,39.983,56.983,71.983,100.983,114.983,141.983,154.983,170.983
74,11334,ES_empty,0,-0.002,40.998,59.998,75.998,104.998,121.998,148.998,165.998,182.998
75,11334,ES_empty,1,-0.006,40.994,57.994,72.994,98.994,114.994,141.994,164.994,180.994
76,11334,NE,0,-0.02,42.98,62.98,82.98,114.98,129.98,158.98,172.98,189.98
77,11334,NE,1,-0.007,40.993,56.993,72.993,103.993,117.993,143.993,156.993,172.993
78,11334,NE_empty,0,-0.01,41.99,60.99,78.99,104.99,119.99,146.99,159.99,175.99
79,11334,NE_empty,1,-0.016,39.984,56.984,71.984,98.984,111.984,137.984,150.984,165.984
80,24549,ES,0,-0.005,42.995,60.995,77.995,106.995,123.995,150.995,165.995,184.995
81,24549,ES,1,-0.018,40.982,58.982,74.982,103.982,119.982,146.982,161.982,176.982
82,24549,ES_empty,0,-0.016,41.984,60.984,77.984,104.984,122.984,151.984,167.984,185.984
83,24549,ES_empty,1,-0.0,41.0,58.0,73.0,100.0,115.0,143.0,163.0,180.0
84,24549,NE,0,-0.07,42.93,61.93,81.93,111.93,127.93,152.93,166.93,181.93
85,24549,NE,1,-0.017,39.983,57.983,72.983,100.983,115.983,141.983,157.983,174.983
86,24549,NE_empty,0,-0.018,39.982,58.982,73.982,101.982,121.982,148.982,166.982,184.982
87,24549,NE_empty,1,-0.011,40.989,58.989,74.989,101.989,117.989,143.989,158.989,175.989
88,26880,ES,0,-0.011,41.989,59.989,75.989,106.989,121.989,157.989,170.989,187.989
